Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3237,0,10,324,27,1451,206,222,154,2314,WA1,ST29,1
2955,108,12,382,10,4576,241,225,112,3345,WA1,ST29,1
2555,31,26,150,37,2342,203,174,94,646,WA3,ST10,2
2975,205,13,577,66,6088,212,252,172,5497,WA1,ST29,2
2610,111,16,150,34,1413,246,221,99,787,WA1,ST30,2
2585,356,8,190,7,664,208,226,156,1248,WA3,ST11,2
3072,182,25,883,105,3141,218,247,146,2167,WA3,ST33,2
2802,1,10,0,0,1415,206,221,153,2589,WA3,ST20,2
1990,47,31,67,7,175,213,156,56,601,WA4,ST1,3
3107,288,7,42,4,853,201,240,178,1839,WA2,ST24,1
3069,197,17,319,44,1615,213,252,168,576,WA3,ST13,2
3109,162,2,390,0,6432,221,239,154,2616,WA1,ST20,2
2973,86,15,339,2,778,241,214,99,2205,WA1,ST29,2
2919,80,5,268,42,4277,227,230,137,6206,WA1,ST12,2
2861,307,12,212,22,2870,186,232,187,2460,WA1,ST29,1
2382,258,16,0,0,624,180,248,205,1006,WA3,ST4,6
2750,195,18,85,15,2413,214,252,166,854,WA3,ST13,2
3044,108,10,180,-25,3486,237,229,122,5437,WA1,ST30,1
3120,199,22,108,26,3154,207,253,171,1110,WA3,ST33,1
3004,57,16,313,-29,3607,229,203,102,5718,WA1,ST29,1
3227,125,14,591,111,2787,242,230,113,3274,WA3,ST33,2
2916,215,8,295,13,5706,213,248,171,5559,WA1,ST29,2
3295,349,14,95,11,1198,194,217,160,2477,WA1,ST38,1
2871,111,28,162,44,1044,254,198,52,272,WA1,ST29,5
2962,326,5,459,65,4114,207,234,166,5488,WA1,ST12,2
3235,105,20,30,-12,1179,249,212,82,1381,WA1,ST23,1
2787,130,25,150,70,3309,251,217,78,1674,WA1,ST29,2
2877,95,9,150,20,3987,234,227,124,6244,WA1,ST12,2
2578,54,8,420,50,649,225,222,130,1231,WA3,ST2,6
3290,124,20,190,20,3203,249,221,91,1146,WA3,ST22,1
3370,15,3,277,44,3543,217,233,154,2177,WA3,ST38,1
3066,16,3,216,12,1154,217,232,153,1705,WA1,ST29,2
3290,86,18,300,56,3555,243,208,88,1739,WA1,ST29,1
3445,188,13,589,110,2734,220,249,160,1521,WA3,ST38,1
2785,49,9,234,30,1947,224,220,130,2866,WA1,ST12,2
3158,114,18,255,81,745,248,219,93,569,WA3,ST33,2
2952,69,3,162,13,2067,223,233,145,1943,WA1,ST29,1
2947,221,10,774,103,2787,208,250,178,1657,WA3,ST26,2
2815,53,25,127,22,3375,225,178,73,1704,WA3,ST10,2
2904,61,9,636,-23,1915,227,222,128,2876,WA3,ST23,1
3121,128,16,201,29,108,245,228,108,3932,WA2,ST22,2
3181,152,34,726,300,1142,239,218,80,2799,WA1,ST29,1
2980,15,14,134,13,212,207,210,138,514,WA3,ST31,2
3114,68,20,418,39,1358,236,197,84,2980,WA3,ST33,2
3429,8,15,450,184,1012,201,208,143,1471,WA2,ST40,7
